metanode_id,x,y,r
0,1.448467683382992,1.7775865282904972,6
1,1.2015051991147,0.11490284318087185,9
2,1.9064428312321677,1.0344053725906952,37
3,1.8927231376130191,0.5787980381087092,4
4,0.9654202342306354,1.0623108486308215,78
5,1.7956457184469095,0.4440420373863009,13
6,1.0459549548157279,1.12794435184707,85
7,1.920614729770954,1.317945618775604,7
8,1.7937497518697572,1.5482328668770369,1
9,1.1303991717181616,1.1996846834610522,40
10,1.1126738491375985,0.7958598471513547,30
11,1.2749942134321792,0.0391519197934137,11
12,0.9808024697041882,1.228747943679817,67
13,1.2896121813919752,0.8805241888009326,47
14,1.067309341765152,0.02414253173726222,12
15,0.583607931933017,1.8175483560149535,1
16,0.13841493228995216,1.225060975863325,7
17,1.05253320641578,1.2060779725892257,110
18,0.9620314116146421,1.1445017191764064,122
19,1.040103638149877,0.806397773079186,28
20,0.9651846288832112,0.9313641117960949,53
21,1.1222069993428954,0.9286915217129673,260
22,1.8199360051422995,0.7248728357918828,2
23,1.592434575738494,1.728127583752046,2
24,1.0521385692896523,0.9597820686011121,76
25,0.2211766050564017,1.1152158654782944,15
26,0.06073480279374166,0.9948732480046525,2
27,1.9257818795781163,1.174133739466841,18
28,0.0655360112527168,0.7318993571827632,5
29,1.6762170847061804,1.6113294435305168,9
30,0.45545656613194874,1.623133639050054,6
31,0.5025112116296311,0.3406207434596382,1
32,0.10874548717460952,1.3743792804734187,7
33,1.2350375479094249,0.6148920759154113,9
34,1.7264940302986802,0.30974595463176935,7
35,0.8626438576407647,1.9434207768471494,1
36,0.8605536720053438,0.14306098445465987,1
37,0.32123094085920745,0.3672763263472095,1
38,0.23164042186252742,1.6957467040997534,5
39,0.8861649052159916,0.0,4
40,0.11194438534606144,0.5403031405447888,1
41,1.354407540817104,0.7625682167604123,21
42,0.5473050276549964,0.11013969974405668,4
43,1.2704990780525443,0.984610578326811,53
44,1.1472461663404538,1.0649378056976648,55
45,0.9349637343374194,1.4640254560643262,18
46,0.9153876345713333,1.2177469250029835,68
47,0.0,0.8725009261519943,4
48,1.3175992402423757,1.888302655984952,1
49,0.18881750831353783,0.6365030600263696,8
50,1.060357009468582,1.9683058516369998,6
51,0.7456907341129453,0.08569606383013473,1
52,1.9341241779329845,0.788146927288922,17
53,0.20000156857663876,0.3748176930163357,1
54,1.0532987240294402,1.075528148393869,125
55,0.9399646385607935,0.7733923427139584,74
56,1.1719491168965672,0.9607359084012825,77
57,0.3951245669909309,0.22087190361240816,5
58,1.1759381248357699,1.8866384519410466,1
59,1.442268506258399,0.09242458450493574,3
60,0.016085025193763647,1.1632668731907807,3
61,1.8186953276616726,1.3997790340792953,6
62,0.41905325743219957,1.8130884360802582,6
63,1.5569067930432803,0.2156615688063741,1
64,1.9762516031733677,0.952995050063402,9
65,1.168287721543476,0.8628882631460985,42
66,0.18246033690865604,1.5213352622992637,8
67,0.9564500441819335,1.8406783512647356,1
68,0.7040900169815483,1.9103478852816544,3
